"Name","Team","Season","GP","TOI","GF%","SF%","FF%","CF%","xGF%","GF/60","GA/60","SF/60","SA/60","FF/60","FA/60","CF/60","CA/60","xGF/60","xGA/60","G±/60","S±/60","F±/60","C±/60","xG±/60","Sh%","Sv%"
"Avalanche","COL","17-18",82,3826.73,51.98,47.49,47.3,47.9,46.75,2.36,2.18,28.97,32.03,39.87,44.43,55.07,59.89,2.04,2.32,0.18,-3.06,-4.56,-4.82,-0.28,8.14,93.2
"Stars","DAL","17-18",82,3919.53,52.53,50.98,51.09,50.97,53.47,2.27,2.05,29.42,28.28,40.94,39.2,56.91,54.74,2.39,2.08,0.22,1.14,1.74,2.17,0.31,7.72,92.75
"Red Wings","DET","17-18",82,3995.28,47.09,48.5,49.17,48.55,48.53,2.21,2.49,29.38,31.19,41.15,42.54,53.48,56.68,2.28,2.42,-0.27,-1.82,-1.39,-3.2,-0.14,7.54,92.03
"Oilers","EDM","17-18",82,4058,48.22,49.83,50.46,49.81,50.67,2.42,2.6,31.93,32.15,44.43,43.61,59.04,59.5,2.68,2.6,-0.18,-0.22,0.82,-0.46,0.07,7.58,91.91
"Panthers","FLA","17-18",82,3966.8,49.57,49.82,50.16,49.39,48.53,2.49,2.54,32.9,33.14,44.91,44.63,57.65,59.07,2.37,2.51,-0.04,-0.24,0.28,-1.42,-0.14,7.58,92.35
"Kings","L.A","17-18",82,3951.62,53.13,49.74,49.41,49.73,47.68,2.32,2.04,29.38,29.69,41.34,42.33,55.79,56.4,2.2,2.42,0.27,-0.31,-0.99,-0.61,-0.21,7.89,93.11
"Wild","MIN","17-18",82,3953.95,52.94,50.19,48.68,47.84,53.44,2.43,2.16,29.94,29.72,39.88,42.05,52.77,57.54,2.26,1.97,0.27,0.22,-2.17,-4.77,0.29,8.12,92.73
"Canadiens","MTL","17-18",82,3974.63,44.92,49.88,49.66,49.7,50.88,1.96,2.4,30.91,31.06,42.1,42.68,58.62,59.34,2.45,2.37,-0.44,-0.14,-0.58,-0.72,0.08,6.33,92.28
"Devils","N.J","17-18",82,3936.12,49.11,49.97,49.08,48.64,50.29,2.44,2.53,30.76,30.79,42.24,43.84,54.7,57.77,2.42,2.39,-0.09,-0.03,-1.59,-3.07,0.03,7.94,91.78
"Predators","NSH","17-18",82,3851.03,56.88,51.6,52.48,52.67,51.49,2.62,1.98,32.32,30.32,45.25,40.97,61.35,55.12,2.46,2.32,0.63,2.01,4.28,6.23,0.14,8.09,93.46
